Huc Cd	Huc Class Cd	Huc Nm
4150304	Cataloging Unit	Grass
4150305	Cataloging Unit	Raquette
4150306	Cataloging Unit	St. Regis
4150307	Cataloging Unit	Salmon
4150308	Cataloging Unit	Chateaugay-English
4150401	Cataloging Unit	Mettawee River
4150402	Cataloging Unit	Otter Creek
4150403	Cataloging Unit	Winooski River
4150404	Cataloging Unit	Ausable River
4150405	Cataloging Unit	Lamoille River
4150406	Cataloging Unit	Saranac River
4150407	Cataloging Unit	Missiquoi River
4150408	Cataloging Unit	Lake Champlain
4150409	Cataloging Unit	Richelieu River
4150500	Cataloging Unit	St. Francois River
5010001	Cataloging Unit	Upper Allegheny
5010002	Cataloging Unit	Conewango
5010003	Cataloging Unit	Middle Allegheny-Tionesta
5010004	Cataloging Unit	French
5010005	Cataloging Unit	Clarion
5010006	Cataloging Unit	Middle Allegheny-Redbank
5010007	Cataloging Unit	Conemaugh
5010008	Cataloging Unit	Kiskiminetas
5010009	Cataloging Unit	Lower Allegheny
5020001	Cataloging Unit	Tygart Valley
5020002	Cataloging Unit	West Fork
5020003	Cataloging Unit	Upper Monongahela
5020004	Cataloging Unit	Cheat
5020005	Cataloging Unit	Lower Monongahela
5020006	Cataloging Unit	Youghiogheny
5030101	Cataloging Unit	Upper Ohio
5030102	Cataloging Unit	Shenango
5030103	Cataloging Unit	Mahoning
5030104	Cataloging Unit	Beaver
5030105	Cataloging Unit	Connoquenessing
5030106	Cataloging Unit	Upper Ohio-Wheeling
5030201	Cataloging Unit	Little Muskingum-Middle Island
5030202	Cataloging Unit	Upper Ohio-Shade
5030203	Cataloging Unit	Little Kanawha
5030204	Cataloging Unit	Hocking
5040001	Cataloging Unit	Tuscarawas
5040002	Cataloging Unit	Mohican
5040003	Cataloging Unit	Walhonding
5040004	Cataloging Unit	Muskingum
5040005	Cataloging Unit	Wills
5040006	Cataloging Unit	Licking
5050001	Cataloging Unit	Upper New
5050002	Cataloging Unit	Middle New
5050003	Cataloging Unit	Greenbrier
5050004	Cataloging Unit	Lower New
5050005	Cataloging Unit	Gauley
5050006	Cataloging Unit	Upper Kanawha
5050007	Cataloging Unit	Elk
5050008	Cataloging Unit	Lower Kanawha
5050009	Cataloging Unit	Coal
5060001	Cataloging Unit	Upper Scioto
5060002	Cataloging Unit	Lower Scioto
5060003	Cataloging Unit	Paint
5070101	Cataloging Unit	Upper Guyandotte
5070102	Cataloging Unit	Lower Guyandotte
5070201	Cataloging Unit	Tug
5070202	Cataloging Unit	Upper Levisa
5070203	Cataloging Unit	Lower Levisa
5070204	Cataloging Unit	Big Sandy
5080001	Cataloging Unit	"Upper Great Miami, Indiana, Ohio"
5080002	Cataloging Unit	"Lower Great Miami, Indiana, Ohio"
5080003	Cataloging Unit	Whitewater
5090101	Cataloging Unit	Raccoon-Symmes
5090102	Cataloging Unit	Twelvepole
5090103	Cataloging Unit	Little Scioto-Tygarts
5090104	Cataloging Unit	Little Sandy
5090201	Cataloging Unit	Ohio Brush-Whiteoak
5090202	Cataloging Unit	Little Miami
5090203	Cataloging Unit	Middle Ohio-Laughery
5100101	Cataloging Unit	Licking
5100102	Cataloging Unit	South Fork Licking
5100201	Cataloging Unit	North Fork Kentucky
5100202	Cataloging Unit	Middle Fork Kentucky
5100203	Cataloging Unit	South Fork Kentucky
5100204	Cataloging Unit	Upper Kentucky
5100205	Cataloging Unit	Lower Kentucky
5110001	Cataloging Unit	Upper Green
5110002	Cataloging Unit	Barren
5110003	Cataloging Unit	Middle Green
5110004	Cataloging Unit	Rough
5110005	Cataloging Unit	Lower Green
5110006	Cataloging Unit	Pond
5120101	Cataloging Unit	Upper Wabash
5120102	Cataloging Unit	Salamonie
5120103	Cataloging Unit	Mississinewa
5120104	Cataloging Unit	Eel
5120105	Cataloging Unit	Middle Wabash-Deer
5120106	Cataloging Unit	Tippecanoe
5120107	Cataloging Unit	Wildcat
5120108	Cataloging Unit	Middle Wabash-Little Vermilion
5120109	Cataloging Unit	Vermilion
5120110	Cataloging Unit	Sugar
5120111	Cataloging Unit	Middle Wabash-Busseron
5120112	Cataloging Unit	Embarras
5120113	Cataloging Unit	Lower Wabash
5120114	Cataloging Unit	Little Wabash
5120115	Cataloging Unit	Skillet
5120201	Cataloging Unit	Upper White
5120202	Cataloging Unit	Lower White
5120203	Cataloging Unit	Eel
5120204	Cataloging Unit	Driftwood
5120205	Cataloging Unit	Flatrock-Haw
5120206	Cataloging Unit	Upper East Fork White
5120207	Cataloging Unit	Muscatatuck
5120208	Cataloging Unit	Lower East Fork White
5120209	Cataloging Unit	Patoka
5130101	Cataloging Unit	Upper Cumberland
5130102	Cataloging Unit	Rockcastle
5130103	Cataloging Unit	Upper Cumberland-Lake Cumberland
5130104	Cataloging Unit	South Fork Cumberland
5130105	Cataloging Unit	Obey
5130106	Cataloging Unit	Upper Cumberland-Cordell Hull Reservoir
5130107	Cataloging Unit	Collins
5130108	Cataloging Unit	Caney
5130201	Cataloging Unit	Lower Cumberland-Old Hickory Lake
